quarter,year,ROE (%),ROA (%),P/E,P/B,EPS (VND),BVPS (VND),NIM (%),Non_Interest_Income (%),NPL (%),Provision_Coverage (%),Cost_of_Funds (%),Equity_Ratio (%),Equity_on_Loan (%),CIR (%),Loan_on_Earning_Asset (%),Loan_to_Asset (%),Loan_to_Deposit (%),Deposit_Ratio (%),NPL_to_Asset (%),Credit_Growth (%),Pre_Provision_ROA (%),Post_Tax_ROA (%),equity_on_liability,eps_change,asset_on_equity,liquidity_on_liability,payable_on_equity,cancel_debt,book_value_per_share_change,time,Ticker
1,2021,0.256,0.021,7.4,1.7,1679,7384,0.039,0.183,0.009,1.204,0.045,0.084,0.117,0.346,0.75,0.721,0.921,0.814,0.007,0.18,0.523,0.438,0.1,0.123,11.9,0.285,10.9,0.002,0.07,2021-01-01,ACB
4,2020,0.243,0.019,7.0,1.5,1495,6901,0.037,0.15,0.006,1.603,0.046,0.08,0.114,0.339,0.73,0.701,0.882,0.827,0.004,0.159,0.529,0.491,0.1,0.15,12.5,0.305,11.5,0.002,0.077,2020-10-01,ACB
3,2020,0.229,0.017,6.5,1.3,1300,6408,0.036,0.19,0.008,1.175,0.05,0.079,0.111,0.386,0.738,0.71,0.888,0.83,0.006,0.161,0.491,0.462,0.1,0.085,12.7,0.296,11.7,0.002,0.068,2020-07-01,ACB
2,2020,0.225,0.016,5.5,1.1,1198,6002,0.036,0.241,0.007,1.441,0.052,0.078,0.109,0.431,0.742,0.715,0.858,0.865,0.005,0.132,0.457,0.371,0.1,-0.002,12.9,0.29,11.9,0.002,0.048,2020-04-01,ACB
1,2020,0.238,0.017,4.3,0.9,1200,5725,0.036,0.219,0.007,1.483,0.052,0.076,0.107,0.539,0.738,0.709,0.879,0.839,0.005,0.158,0.368,0.351,0.1,-0.459,13.2,0.294,12.2,0.001,-0.443,2020-01-01,ACB
4,2019,0.246,0.017,6.3,1.4,2219,10271,0.035,0.308,0.005,1.75,0.05,0.072,0.103,0.57,0.733,0.701,0.872,0.841,0.004,0.166,0.341,0.322,0.1,0.032,13.8,0.299,12.8,0.001,0.094,2019-10-01,ACB
3,2019,0.259,0.017,6.7,1.5,2151,9387,0.036,0.215,0.007,1.589,0.051,0.071,0.099,0.479,0.748,0.715,0.859,0.87,0.005,0.159,0.416,0.403,0.1,0.043,14.1,0.283,13.1,0.001,0.064,2019-07-01,ACB
2,2019,0.264,0.017,6.6,1.6,2062,8820,0.035,0.265,0.007,1.615,0.049,0.068,0.095,0.487,0.748,0.714,0.861,0.87,0.005,0.13,0.411,0.388,0.1,0.04,14.7,0.284,13.7,0.001,0.065,2019-04-01,ACB
1,2019,0.271,0.017,7.2,1.7,1983,8284,0.036,0.182,0.007,1.581,0.048,0.067,0.094,0.515,0.743,0.707,0.863,0.861,0.005,0.121,0.388,0.391,0.1,0.043,15.0,0.289,14.0,0.001,0.065,2019-01-01,ACB
4,2018,0.277,0.017,7.4,1.8,1901,7778,0.035,0.294,0.007,1.519,0.048,0.064,0.091,0.547,0.737,0.7,0.854,0.864,0.005,0.162,0.383,0.328,0.1,0.177,15.7,0.293,14.7,0.001,0.077,2018-10-01,ACB
3,2018,0.263,0.015,10.0,2.2,1614,7223,0.035,0.237,0.008,1.295,0.049,0.062,0.088,0.452,0.742,0.706,0.824,0.9,0.006,0.198,0.441,0.39,0.1,0.212,16.0,0.287,15.0,0.011,0.066,2018-07-01,ACB
2,2018,0.217,0.013,11.0,2.2,1332,6779,0.034,0.224,0.008,1.308,0.048,0.059,0.083,0.385,0.751,0.716,0.828,0.906,0.006,0.221,0.488,0.411,0.1,0.293,16.9,0.277,15.9,0.012,0.066,2018-04-01,ACB
1,2018,0.175,0.01,18.7,3.0,1030,6357,0.034,0.282,0.007,1.347,0.048,0.057,0.081,0.508,0.743,0.706,0.82,0.906,0.005,0.193,0.378,0.346,0.1,0.315,17.5,0.282,16.5,0.012,0.072,2018-01-01,ACB
4,2017,0.141,0.008,17.6,2.3,783,5933,0.034,0.31,0.007,1.327,0.049,0.056,0.081,0.5,0.74,0.698,0.822,0.9,0.005,0.215,0.453,0.171,0.1,0.142,17.7,0.284,16.7,0.014,0.039,2017-10-01,ACB
3,2017,0.135,0.007,16.7,2.0,686,5708,0.033,0.153,0.01,1.51,0.049,0.057,0.084,0.5,0.715,0.683,0.788,0.907,0.007,0.154,0.368,0.216,0.1,0.13,17.5,0.304,16.5,0.006,0.036,2017-07-01,ACB
2,2017,0.116,0.007,15.9,1.8,607,5508,0.032,0.272,0.011,1.308,0.048,0.056,0.082,0.63,0.715,0.683,0.789,0.907,0.008,0.162,0.278,0.181,0.1,0.1,17.9,0.304,16.9,0.005,0.023,2017-04-01,ACB
