quarter,year,ROE (%),ROA (%),P/E,P/B,EPS (VND),BVPS (VND),NIM (%),Non_Interest_Income (%),NPL (%),Provision_Coverage (%),Cost_of_Funds (%),Equity_Ratio (%),Equity_on_Loan (%),CIR (%),Loan_on_Earning_Asset (%),Loan_to_Asset (%),Loan_to_Deposit (%),Deposit_Ratio (%),NPL_to_Asset (%),Credit_Growth (%),Pre_Provision_ROA (%),Post_Tax_ROA (%),equity_on_liability,eps_change,asset_on_equity,liquidity_on_liability,payable_on_equity,cancel_debt,book_value_per_share_change,time,Ticker
2,2015,0.073,0.005,16.9,1.2,295,4061,0.021,0.133,0.025,0.392,0.056,0.061,0.091,0.456,0.751,0.669,0.841,0.893,0.017,0.296,0.413,0.269,0.1,0.026,16.4,0.249,15.4,0.007,0.014,2015-04-01,SHB
1,2015,0.072,0.005,18.2,1.3,287,4004,0.024,0.088,0.027,0.353,0.059,0.064,0.095,0.68,0.773,0.674,0.831,0.93,0.018,0.36,0.254,0.245,0.1,-0.062,15.5,0.225,14.5,0.008,0.015,2015-01-01,SHB
4,2014,0.079,0.005,,,306,3943,0.02,0.104,0.02,0.571,0.053,0.062,0.101,0.481,0.696,0.615,0.845,0.824,0.012,0.361,0.416,0.208,0.1,0.011,16.1,0.3,15.1,0.008,0.017,2014-10-01,SHB
3,2014,0.079,0.006,,,303,3878,0.021,0.078,0.024,0.568,0.061,0.068,0.108,0.541,0.714,0.627,0.838,0.853,0.015,0.467,0.371,0.239,0.1,-0.053,14.8,0.284,13.8,0.009,-0.039,2014-07-01,SHB
2,2014,0.083,0.007,,,320,4034,0.022,0.241,0.04,0.349,0.064,0.077,0.118,0.308,0.749,0.651,0.836,0.897,0.026,0.564,0.563,0.194,0.1,0.058,13.1,0.252,12.1,0.008,0.017,2014-04-01,SHB
1,2014,0.08,0.007,,,303,3967,0.021,0.21,0.043,0.271,0.067,0.083,0.129,0.863,0.75,0.643,0.839,0.894,0.027,0.499,0.107,0.489,0.1,0.071,12.1,0.249,11.1,-0.001,0.025,2014-01-01,SHB
4,2013,0.076,0.006,,,283,3872,0.019,-0.071,0.041,0.418,0.06,0.072,0.135,0.651,0.607,0.532,0.843,0.72,0.022,0.346,0.264,0.347,0.1,-0.512,13.9,0.388,12.9,-0.003,0.029,2013-10-01,SHB
3,2013,0.169,0.014,,,580,3764,0.02,0.149,0.077,0.344,0.088,0.086,0.153,0.586,0.66,0.561,0.813,0.812,0.043,0.391,0.311,0.365,0.1,-4.918,11.6,0.341,10.6,-0.01,0.029,2013-07-01,SHB
2,2013,-0.051,-0.004,,,-148,3656,0.021,0.127,0.09,0.343,0.18,0.093,0.167,0.551,0.666,0.56,0.761,0.875,0.051,0.905,0.341,0.218,0.1,0.268,10.7,0.339,9.7,-0.021,0.007,2013-04-01,SHB
1,2013,-0.039,-0.003,,,-116,3632,0.02,0.196,0.087,0.235,0.192,0.093,0.176,0.856,0.627,0.526,0.7,0.895,0.046,0.739,0.108,0.307,0.1,0.246,10.8,0.369,9.8,-0.008,0.019,2013-01-01,SHB
4,2012,-0.033,-0.003,,,-93,3564,0.02,0.711,0.085,0.258,0.179,0.081,0.167,0.587,0.561,0.483,0.732,0.766,0.041,0.945,0.413,0.908,0.1,-0.759,12.4,0.431,11.4,-0.008,0.142,2012-10-01,SHB
