quarter,year,ROE (%),ROA (%),P/E,P/B,EPS (VND),BVPS (VND),NIM (%),Non_Interest_Income (%),NPL (%),Provision_Coverage (%),Cost_of_Funds (%),Equity_Ratio (%),Equity_on_Loan (%),CIR (%),Loan_on_Earning_Asset (%),Loan_to_Asset (%),Loan_to_Deposit (%),Deposit_Ratio (%),NPL_to_Asset (%),Credit_Growth (%),Pre_Provision_ROA (%),Post_Tax_ROA (%),equity_on_liability,eps_change,asset_on_equity,liquidity_on_liability,payable_on_equity,cancel_debt,book_value_per_share_change,time,Ticker
2,2020,0.176,0.029,6.0,1.0,1532,9515,0.045,0.332,0.009,1.086,0.036,0.17,0.291,0.312,0.639,0.585,0.927,0.689,0.005,0.249,0.55,0.49,0.2,0.039,5.9,0.418,4.9,0.01,0.044,2020-04-01,TCB
1,2020,0.177,0.029,4.8,0.8,1474,9114,0.045,0.301,0.011,1.179,0.038,0.165,0.278,0.354,0.642,0.592,0.987,0.65,0.006,0.416,0.518,0.415,0.2,-0.486,6.1,0.416,5.1,0.006,-0.484,2020-01-01,TCB
4,2019,0.178,0.029,8.2,1.3,2869,17679,0.043,0.411,0.013,0.948,0.038,0.162,0.269,0.353,0.649,0.602,0.998,0.651,0.008,0.443,0.508,0.471,0.2,0.083,6.2,0.411,5.2,0.002,0.053,2019-10-01,TCB
3,2019,0.172,0.027,8.8,1.4,2648,16787,0.042,0.305,0.018,0.771,0.039,0.16,0.287,0.335,0.6,0.559,0.939,0.639,0.01,0.23,0.537,0.482,0.2,0.056,6.2,0.469,5.2,0.003,0.046,2019-07-01,TCB
2,2019,0.17,0.027,8.1,1.3,2507,16054,0.041,0.318,0.018,0.771,0.039,0.156,0.304,0.336,0.547,0.514,0.842,0.65,0.009,0.112,0.531,0.519,0.2,0.036,6.4,0.528,5.4,0.006,0.046,2019-04-01,TCB
1,2019,0.186,0.028,10.6,1.7,2420,15344,0.042,0.219,0.018,0.877,0.042,0.165,0.329,0.366,0.535,0.502,0.788,0.68,0.009,-0.001,0.507,0.476,0.2,0.004,6.1,0.547,5.1,0.006,0.04,2019-01-01,TCB
4,2018,0.215,0.029,10.7,1.8,2410,14749,0.04,0.415,0.018,0.851,0.041,0.161,0.324,0.417,0.536,0.498,0.794,0.676,0.009,-0.006,0.457,0.448,0.2,-0.034,6.2,0.531,5.2,0.008,0.047,2018-10-01,TCB
3,2018,0.254,0.032,11.7,2.1,2496,14093,0.042,0.328,0.021,0.775,0.041,0.159,0.296,0.284,0.579,0.535,0.862,0.671,0.011,0.215,0.572,0.444,0.2,0.042,6.3,0.488,5.3,0.013,0.043,2018-07-01,TCB
2,2018,0.243,0.032,12.8,2.3,2395,13509,0.038,0.374,0.02,0.742,0.04,0.158,0.285,0.288,0.594,0.555,0.895,0.663,0.011,0.264,0.569,0.525,0.2,0.131,6.3,0.475,5.3,0.01,0.261,2018-04-01,TCB
1,2018,0.255,0.029,,,2117,10713,0.039,0.453,0.019,0.762,0.041,0.138,0.229,0.272,0.644,0.6,0.904,0.713,0.011,0.19,0.581,0.44,0.2,0.154,7.3,0.409,6.3,0.016,0.397,2018-01-01,TCB
4,2017,0.277,0.026,,,1835,7670,0.038,0.576,0.016,0.729,0.039,0.1,0.167,0.267,0.639,0.597,0.941,0.679,0.01,0.128,0.586,0.439,0.1,0.344,10.0,0.392,9.0,0.021,0.386,2017-10-01,TCB
3,2017,0.251,0.021,,,1365,5535,0.039,0.41,0.019,0.68,0.042,0.083,0.141,0.35,0.64,0.588,0.826,0.775,0.011,0.013,0.527,0.49,0.1,0.166,12.0,0.383,11.0,0.022,-0.107,2017-07-01,TCB
2,2017,0.208,0.018,,,1170,6195,0.04,0.363,0.021,0.635,0.043,0.094,0.165,0.278,0.614,0.568,0.766,0.801,0.012,0.032,0.576,0.322,0.1,0.088,10.7,0.416,9.7,0.025,0.053,2017-04-01,TCB
1,2017,0.201,0.018,,,1076,5882,0.041,0.406,0.019,0.604,0.042,0.089,0.15,0.294,0.63,0.592,0.771,0.818,0.011,0.208,0.565,0.288,0.1,0.183,11.3,0.395,10.3,0.024,0.052,2017-01-01,TCB
4,2016,0.177,0.015,,,909,5591,0.041,0.388,0.016,0.666,0.04,0.083,0.138,0.409,0.647,0.606,0.822,0.787,0.01,0.278,0.471,0.289,0.1,0.198,12.0,0.377,11.0,0.026,0.047,2016-10-01,TCB
3,2016,0.153,0.013,,,759,5338,0.045,0.285,0.018,0.637,0.04,0.084,0.138,0.389,0.656,0.609,0.829,0.791,0.011,0.444,0.489,0.363,0.1,0.302,11.9,0.366,10.9,0.029,0.057,2016-07-01,TCB
