quarter,year,ROE (%),ROA (%),P/E,P/B,EPS (VND),BVPS (VND),NIM (%),Non_Interest_Income (%),NPL (%),Provision_Coverage (%),Cost_of_Funds (%),Equity_Ratio (%),Equity_on_Loan (%),CIR (%),Loan_on_Earning_Asset (%),Loan_to_Asset (%),Loan_to_Deposit (%),Deposit_Ratio (%),NPL_to_Asset (%),Credit_Growth (%),Pre_Provision_ROA (%),Post_Tax_ROA (%),equity_on_liability,eps_change,asset_on_equity,liquidity_on_liability,payable_on_equity,cancel_debt,book_value_per_share_change,time,Ticker
4,2020,0.235,0.019,7.3,1.5,1265,6036,0.043,0.362,0.012,1.342,0.043,0.081,0.14,0.4,0.638,0.582,1.035,0.616,0.007,0.255,0.48,0.333,0.1,-0.022,12.3,0.38,11.3,0.01,0.085,2020-10-01,TPB
3,2020,0.263,0.021,5.1,1.2,1294,5565,0.042,0.229,0.018,0.922,0.045,0.08,0.14,0.366,0.616,0.57,1.015,0.606,0.01,0.187,0.508,0.357,0.1,0.048,12.5,0.406,11.5,0.008,0.067,2020-07-01,TPB
2,2020,0.266,0.021,4.7,1.1,1234,5216,0.042,0.28,0.015,1.127,0.047,0.08,0.144,0.401,0.597,0.554,1.044,0.572,0.008,0.129,0.478,0.334,0.1,0.064,12.5,0.425,11.5,0.011,0.044,2020-04-01,TPB
1,2020,0.256,0.02,4.2,1.0,1161,4997,0.041,0.289,0.019,0.76,0.046,0.078,0.138,0.451,0.612,0.569,1.121,0.546,0.011,0.186,0.44,0.333,0.1,-0.406,12.7,0.409,11.7,0.012,-0.395,2020-01-01,TPB
4,2019,0.261,0.021,8.8,2.1,1956,8265,0.041,0.464,0.013,0.978,0.046,0.079,0.137,0.357,0.64,0.581,1.035,0.619,0.008,0.239,0.515,0.418,0.1,0.269,12.6,0.373,11.6,0.011,0.098,2019-10-01,TPB
3,2019,0.22,0.017,11.9,2.4,1540,7529,0.042,0.265,0.015,0.801,0.046,0.077,0.128,0.371,0.667,0.604,1.086,0.615,0.009,0.259,0.503,0.32,0.1,0.069,12.9,0.344,11.9,0.01,0.056,2019-07-01,TPB
2,2019,0.218,0.017,13.0,2.6,1441,7132,0.04,0.267,0.015,0.841,0.045,0.077,0.127,0.414,0.659,0.61,1.1,0.599,0.009,0.206,0.469,0.319,0.1,0.156,12.9,0.361,11.9,0.005,-0.005,2019-04-01,TPB
1,2019,0.212,0.015,13.9,2.4,1247,7170,0.039,0.326,0.014,0.888,0.044,0.081,0.134,0.471,0.655,0.605,1.087,0.603,0.008,0.214,0.423,0.358,0.1,-0.19,12.3,0.36,11.3,0.004,-0.211,2019-01-01,TPB
4,2018,0.208,0.014,10.6,1.8,1539,9082,0.037,0.207,0.011,1.033,0.042,0.078,0.138,0.545,0.629,0.567,1.014,0.62,0.006,0.217,0.363,0.323,0.1,0.17,12.8,0.377,11.8,0.004,0.043,2018-10-01,TPB
3,2018,0.185,0.013,12.7,1.9,1315,8707,0.036,0.193,0.012,0.991,0.044,0.08,0.138,0.525,0.636,0.582,1.052,0.605,0.007,0.302,0.379,0.339,0.1,0.181,12.4,0.375,11.4,0.002,0.057,2018-07-01,TPB
2,2018,0.166,0.011,15.8,2.1,1113,8241,0.034,0.271,0.012,0.991,0.041,0.076,0.131,0.439,0.626,0.583,0.981,0.638,0.007,0.39,0.335,0.21,0.1,0.116,13.1,0.389,12.1,0.004,0.327,2018-04-01,TPB
1,2018,0.178,0.01,,,998,6211,0.032,0.215,0.011,0.925,0.042,0.06,0.104,0.512,0.612,0.576,0.954,0.641,0.007,0.614,0.488,0.432,0.1,0.341,16.7,0.402,15.7,0.003,0.09,2018-01-01,TPB
4,2017,0.141,0.008,,,744,5698,0.029,0.132,0.011,0.971,0.039,0.054,0.105,0.625,0.559,0.511,0.902,0.619,0.006,0.36,0.237,0.226,0.1,0.031,18.6,0.439,17.6,0.004,0.039,2017-10-01,TPB
