quarter,year,ROE (%),ROA (%),P/E,P/B,EPS (VND),BVPS (VND),NIM (%),Non_Interest_Income (%),NPL (%),Provision_Coverage (%),Cost_of_Funds (%),Equity_Ratio (%),Equity_on_Loan (%),CIR (%),Loan_on_Earning_Asset (%),Loan_to_Asset (%),Loan_to_Deposit (%),Deposit_Ratio (%),NPL_to_Asset (%),Credit_Growth (%),Pre_Provision_ROA (%),Post_Tax_ROA (%),equity_on_liability,eps_change,asset_on_equity,liquidity_on_liability,payable_on_equity,cancel_debt,book_value_per_share_change,time,Ticker
4,2014,0.126,0.013,,,1226,10017,0.042,0.338,0.012,0.899,0.057,0.095,0.141,0.675,0.76,0.674,0.785,0.968,0.008,0.158,0.256,0.176,0.1,-0.097,10.5,0.271,9.5,0.008,0.021,2014-10-01,STB
3,2014,0.143,0.014,,,1357,9816,0.045,0.194,0.01,1.246,0.06,0.095,0.142,0.46,0.751,0.667,0.798,0.941,0.007,0.14,0.422,0.264,0.1,0.042,10.5,0.284,9.5,0.006,0.035,2014-07-01,STB
2,2014,0.15,0.014,,,1303,9483,0.044,0.127,0.015,0.809,0.064,0.096,0.141,0.52,0.76,0.677,0.817,0.929,0.01,0.109,0.376,0.3,0.1,0.081,10.5,0.28,9.5,0.006,0.033,2014-04-01,STB
1,2014,0.141,0.013,,,1205,9176,0.044,0.171,0.019,0.624,0.07,0.098,0.144,0.528,0.766,0.678,0.811,0.944,0.013,0.163,0.369,0.329,0.1,-0.025,10.2,0.275,9.2,0.006,-0.03,2014-01-01,STB
4,2013,0.146,0.014,,,1235,9460,0.048,0.092,0.015,0.84,0.075,0.106,0.154,0.56,0.774,0.685,0.84,0.921,0.01,0.148,0.338,0.328,0.1,1.833,9.5,0.262,8.5,0.005,0.038,2013-10-01,STB
3,2013,0.051,0.005,,,436,9109,0.052,0.215,0.023,0.59,0.079,0.104,0.151,0.578,0.782,0.692,0.852,0.917,0.016,0.254,0.307,0.249,0.1,0.141,9.6,0.258,8.6,0.009,0.153,2013-07-01,STB
2,2013,,0.005,,,382,7898,0.053,-0.009,0.025,0.606,,0.089,0.13,0.588,0.785,0.682,0.877,0.895,0.017,0.361,0.312,0.293,0.1,0.184,11.3,0.27,10.3,0.006,-0.007,2013-04-01,STB
1,2013,0.039,0.004,,,322,7952,0.054,0.176,0.023,0.725,0.087,0.09,0.146,0.499,0.729,0.621,0.835,0.873,0.014,0.218,0.379,0.307,0.1,-0.185,11.1,0.326,10.1,0.008,0.069,2013-01-01,STB
4,2012,0.051,0.005,,,396,7436,0.052,-0.425,0.02,0.733,0.091,0.088,0.139,0.96,0.751,0.634,0.894,0.839,0.013,0.196,0.044,-0.694,0.1,-0.653,11.3,0.311,10.3,0.008,-0.06,2012-10-01,STB
3,2012,0.145,0.014,,,1140,7912,0.052,0.055,0.014,0.839,0.09,0.097,0.164,0.604,0.72,0.591,0.894,0.805,0.008,0.075,0.277,0.232,0.1,-0.013,10.3,0.362,9.3,0.004,0.03,2012-07-01,STB
2,2012,,0.015,,,1156,7680,0.052,0.193,0.013,0.93,,0.096,0.173,0.543,0.68,0.555,0.917,0.742,0.007,-0.003,0.324,0.197,0.1,-0.095,10.4,0.401,9.4,0.006,-0.094,2012-04-01,STB
1,2012,0.156,0.016,,,1277,8477,0.05,0.197,0.008,1.298,0.104,0.109,0.189,0.422,0.7,0.574,1.003,0.697,0.005,-0.028,0.439,0.424,0.1,0.115,9.2,0.384,8.2,0.005,0.051,2012-01-01,STB
4,2011,0.145,0.014,,,1145,8064,0.047,0.08,0.006,1.755,0.103,0.103,0.181,0.645,0.688,0.569,1.073,0.642,0.003,-0.029,0.262,0.26,0.1,0.055,9.7,0.391,8.7,0.005,0.037,2011-10-01,STB
3,2011,,0.014,,,1085,7774,0.045,0.142,0.006,1.922,,0.093,0.173,0.549,0.655,0.538,1.096,0.597,0.003,0.028,0.298,0.243,0.1,0.036,10.7,0.424,9.7,0.003,0.042,2011-07-01,STB
2,2011,,0.015,,,1048,7463,0.044,0.141,0.01,1.164,,0.095,0.167,0.484,0.679,0.571,1.071,0.634,0.006,0.085,0.352,0.337,0.1,0.191,10.5,0.414,9.5,0.001,-0.061,2011-04-01,STB
1,2011,,0.012,,,880,7950,0.041,0.166,0.005,2.248,,0.097,0.172,0.42,0.672,0.562,1.042,0.645,0.003,0.335,0.463,0.361,0.1,0.1,10.3,0.424,9.3,0.0,0.026,2011-01-01,STB
4,2010,,0.011,,,800,7752,0.033,0.075,0.005,2.037,,0.092,0.169,0.492,0.637,0.543,1.067,0.598,0.003,0.386,0.316,0.273,0.1,-0.078,10.9,0.447,9.9,-0.001,0.062,2010-10-01,STB
3,2010,,0.014,,,868,7298,0.031,0.12,0.005,1.582,,0.099,0.167,0.502,0.681,0.59,0.973,0.7,0.003,0.386,0.366,0.336,0.1,-0.024,10.1,0.395,9.1,0.001,0.314,2010-07-01,STB
2,2010,,0.016,,,889,5554,0.032,0.266,0.006,1.504,,0.084,0.135,0.445,0.743,0.62,0.989,0.751,0.004,0.506,0.345,0.282,0.1,-0.111,11.9,0.35,10.9,0.0,0.035,2010-04-01,STB
1,2010,,0.02,,,1000,5368,0.033,0.416,0.007,1.204,,0.09,0.155,0.455,0.696,0.578,0.99,0.703,0.004,0.529,0.418,0.41,0.1,0.077,11.1,0.388,10.1,0.0,-0.082,2010-01-01,STB
4,2009,,0.019,,,928,5850,0.033,0.51,0.006,1.342,,0.101,0.176,0.451,0.681,0.575,0.988,0.689,0.004,0.72,0.434,0.378,0.1,0.16,9.9,0.402,8.8,0.0,0.129,2009-10-01,STB
3,2009,,0.018,,,800,5181,0.029,0.365,0.007,1.112,,0.095,0.164,0.416,0.693,0.578,0.881,0.786,0.004,0.722,0.457,0.409,0.1,0.193,10.5,0.389,9.5,0.001,0.224,2009-07-01,STB
2,2009,,0.015,,,671,4232,0.021,0.422,0.007,1.048,,0.091,0.155,0.326,0.692,0.589,0.864,0.801,0.004,0.258,0.524,0.451,0.1,0.199,11.0,0.385,10.0,0.001,0.067,2009-04-01,STB
3,2008,,0.014,,,450,4418,0.018,0.897,,,,0.12,0.242,0.592,0.59,0.496,0.722,0.817,,0.357,0.334,0.328,0.1,-0.182,8.4,0.508,7.4,-0.001,0.118,2008-07-01,STB
3,2007,,0.028,,,547,3756,0.035,0.568,,,,0.137,0.279,0.306,0.582,0.491,0.696,0.837,,0.989,0.627,0.594,0.2,0.368,7.3,0.526,6.3,-0.003,1.062,2007-07-01,STB
2,2007,,0.025,,,399,1821,0.041,0.0,,,,0.086,0.171,0.0,0.613,0.5,0.727,0.843,,,0.87,0.87,0.1,0.237,11.7,0.484,10.7,-0.013,0.087,2007-04-01,STB
