time,Close,Volume,Ticker_x,quarter,year,ROE (%),ROA (%),P/E,P/B,EPS (VND),BVPS (VND),NIM (%),Non_Interest_Income (%),NPL (%),Provision_Coverage (%),Cost_of_Funds (%),Equity_Ratio (%),Equity_on_Loan (%),CIR (%),Loan_on_Earning_Asset (%),Loan_to_Asset (%),Loan_to_Deposit (%),Deposit_Ratio (%),NPL_to_Asset (%),Credit_Growth (%),Pre_Provision_ROA (%),Post_Tax_ROA (%),equity_on_liability,eps_change,asset_on_equity,liquidity_on_liability,payable_on_equity,cancel_debt,book_value_per_share_change,Ticker_y,Ticker,Close_MA7,Close_MA14,Close_MA30,Close_to_Open,High_to_Low,Volatility_14,Close_Pct_Change,RSI_14,MACD,MACD_Signal,BB_Upper,BB_Lower,Close_MA100,Close_MA200,Volatility_60,RSI_30,time_index,month,day_of_year,day_of_week,Close_lag_90,Close_lag_365,NPL_Diff,NPL_MA4,NIM_Diff,NIM_MA4,CIR_Diff,CIR_MA4,Credit_Growth_Diff,Credit_Growth_MA4,NIM_CIR_Ratio,NPL_Trend,Target_Direction_t+1,Target_Direction_t+3,Target_Direction_t+5,Target_Direction_t+30,Target_Direction_t+60,Target_Direction_t+90
2020-01-16,0.10482430017867789,0.060752674429750284,ACB,0.0,2020,0.38181818181818095,0.10000000000000009,0.0,0.0,0.0009661835748792091,0.0,0.0,0.6140350877192982,0.11111111111111105,0.5357142857142858,1.0,0.0,0.0,1.0,0.75,0.6607142857142847,0.09292035398230114,0.8854625550660788,0.1428571428571428,0.4086021505376343,0.0,0.0,0.0,0.0,1.0,0.1363636363636367,1.0,0.2,0.0,ACB,ACB,0.06902919451283857,0.6175970656646985,0.6298844661650914,0.4972057636285631,0.15653509156159223,0.18522649541208067,0.6468098001928678,0.528814690433135,0.4783197219512076,0.4587516836324926,0.6209434311638977,0.6108433815318999,0.640474388803632,0.6382432669617956,0.2454982300167734,0.59436036319703,0.008361204013377926,0.0,0.038461538461538464,0.75,0.6483726866624124,0.7496050552922593,0.5,0.11111111111111105,0.571428571428571,0.0,0.5552407932011332,1.0,0.544776119402985,0.4086021505376343,0.0,1.0,0,1,0,1,0,1
2020-01-17,0.10303752233472313,0.05745613296192913,ACB,0.0,2020,0.38181818181818095,0.10000000000000009,0.0,0.0,0.0009661835748792091,0.0,0.0,0.6140350877192982,0.11111111111111105,0.5357142857142858,1.0,0.0,0.0,1.0,0.75,0.6607142857142847,0.09292035398230114,0.8854625550660788,0.1428571428571428,0.4086021505376343,0.0,0.0,0.0,0.0,1.0,0.1363636363636367,1.0,0.2,0.0,ACB,ACB,0.07333802321491378,0.6175970656646985,0.6298844661650914,0.358037604717972,0.0780218791327848,0.18522649541208067,0.4863405682812487,0.528814690433135,0.48705338906320955,0.46559600491468817,0.6209434311638977,0.6108433815318999,0.640474388803632,0.6382432669617956,0.2454982300167734,0.59436036319703,0.009197324414715718,0.0,0.04120879120879121,1.0,0.6483726866624124,0.7496050552922593,0.5,0.11111111111111105,0.571428571428571,0.0,0.5552407932011332,1.0,0.544776119402985,0.4086021505376343,0.0,1.0,1,1,0,1,0,1
2020-01-20,0.11137581893984522,0.10791477261174802,ACB,0.0,2020,0.38181818181818095,0.10000000000000009,0.0,0.0,0.0009661835748792091,0.0,0.0,0.6140350877192982,0.11111111111111105,0.5357142857142858,1.0,0.0,0.0,1.0,0.75,0.6607142857142847,0.09292035398230114,0.8854625550660788,0.1428571428571428,0.4086021505376343,0.0,0.0,0.0,0.0,1.0,0.1363636363636367,1.0,0.2,0.0,ACB,ACB,0.07817446359479419,0.6175970656646985,0.6298844661650914,0.4720479608427319,0.19431743221510558,0.18522649541208067,0.6137853630933694,0.528814690433135,0.4999890961262318,0.47435371538681625,0.6209434311638977,0.6108433815318999,0.640474388803632,0.6382432669617956,0.2454982300167734,0.59436036319703,0.010033444816053512,0.0,0.049450549450549455,0.0,0.6483726866624124,0.7496050552922593,0.5,0.11111111111111105,0.571428571428571,0.0,0.5552407932011332,1.0,0.544776119402985,0.4086021505376343,0.0,1.0,1,0,0,0,0,1
2020-01-21,0.11494937462775467,0.03043217855285974,ACB,0.0,2020,0.38181818181818095,0.10000000000000009,0.0,0.0,0.0009661835748792091,0.0,0.0,0.6140350877192982,0.11111111111111105,0.5357142857142858,1.0,0.0,0.0,1.0,0.75,0.6607142857142847,0.09292035398230114,0.8854625550660788,0.1428571428571428,0.4086021505376343,0.0,0.0,0.0,0.0,1.0,0.1363636363636367,1.0,0.2,0.0,ACB,ACB,0.08274709813577202,0.06584362139917693,0.6298844661650914,0.39203288017704746,0.07558472149733421,0.12665644263198417,0.5528662740242118,0.694136644239862,0.5124468758374511,0.4845208698777692,0.6209434311638977,0.6108433815318999,0.640474388803632,0.6382432669617956,0.2454982300167734,0.59436036319703,0.010869565217391304,0.0,0.0521978021978022,0.25,0.6483726866624124,0.7496050552922593,0.5,0.11111111111111105,0.571428571428571,0.0,0.5552407932011332,1.0,0.544776119402985,0.4086021505376343,0.0,1.0,0,0,0,0,0,1
2020-01-22,0.11494937462775467,0.024581197226667906,ACB,0.0,2020,0.38181818181818095,0.10000000000000009,0.0,0.0,0.0009661835748792091,0.0,0.0,0.6140350877192982,0.11111111111111105,0.5357142857142858,1.0,0.0,0.0,1.0,0.75,0.6607142857142847,0.09292035398230114,0.8854625550660788,0.1428571428571428,0.4086021505376343,0.0,0.0,0.0,0.0,1.0,0.1363636363636367,1.0,0.2,0.0,ACB,ACB,0.08679212099894473,0.06776704240472364,0.6298844661650914,0.3754422281396257,0.051069782928978236,0.1455309867325411,0.5087502365781335,0.694136644239862,0.5216712107205739,0.4949951385070811,0.6209434311638977,0.6108433815318999,0.640474388803632,0.6382432669617956,0.2454982300167734,0.59436036319703,0.011705685618729096,0.0,0.05494505494505495,0.5,0.6483726866624124,0.7496050552922593,0.5,0.11111111111111105,0.571428571428571,0.0,0.5552407932011332,1.0,0.544776119402985,0.4086021505376343,0.0,1.0,0,0,0,0,0,1
2020-01-30,0.09946396664681362,0.1023006631249655,ACB,0.0,2020,0.38181818181818095,0.10000000000000009,0.0,0.0,0.0009661835748792091,0.0,0.0,0.6140350877192982,0.11111111111111105,0.5357142857142858,1.0,0.0,0.0,1.0,0.75,0.6607142857142847,0.09292035398230114,0.8854625550660788,0.1428571428571428,0.4086021505376343,0.0,0.0,0.0,0.0,1.0,0.1363636363636367,1.0,0.2,0.0,ACB,ACB,0.0870559268378473,0.06852746466273035,0.6298844661650914,0.2964029040110083,0.24256682295970144,0.1456137831336628,0.31920311293546255,0.5419577538692368,0.5164832968622881,0.5020581933493544,0.6209434311638977,0.6108433815318999,0.640474388803632,0.6382432669617956,0.2454982300167734,0.59436036319703,0.01254180602006689,0.0,0.07692307692307694,0.75,0.6483726866624124,0.7496050552922593,0.5,0.11111111111111105,0.571428571428571,0.0,0.5552407932011332,1.0,0.544776119402985,0.4086021505376343,0.0,1.0,0,0,1,0,0,1
2020-01-31,0.08933889219773677,0.10210219037466706,ACB,0.0,2020,0.38181818181818095,0.10000000000000009,0.0,0.0,0.0009661835748792091,0.0,0.0,0.6140350877192982,0.11111111111111105,0.5357142857142858,1.0,0.0,0.0,1.0,0.75,0.6607142857142847,0.09292035398230114,0.8854625550660788,0.1428571428571428,0.4086021505376343,0.0,0.0,0.0,0.0,1.0,0.1363636363636367,1.0,0.2,0.0,ACB,ACB,0.08635244460077385,0.06919842547861871,0.6298844661650914,0.31095565242288,0.20284482115575772,0.13854861664464363,0.38008385913199905,0.53257629472473,0.5041384036383401,0.5045762944658745,0.6209434311638977,0.6108433815318999,0.640474388803632,0.6382432669617956,0.2454982300167734,0.59436036319703,0.013377926421404682,0.0,0.07967032967032968,1.0,0.6483726866624124,0.7496050552922593,0.5,0.11111111111111105,0.571428571428571,0.0,0.5552407932011332,1.0,0.544776119402985,0.4086021505376343,0.0,1.0,0,0,1,0,0,1
2020-02-03,0.08219178082191786,0.10753156596829895,ACB,0.0,2020,0.38181818181818095,0.10000000000000009,0.0,0.0,0.0009661835748792091,0.0,0.0,0.6140350877192982,0.11111111111111105,0.5357142857142858,1.0,0.0,0.0,1.0,0.75,0.6607142857142847,0.09292035398230114,0.8854625550660788,0.1428571428571428,0.4086021505376343,0.0,0.0,0.0,0.0,1.0,0.1363636363636367,1.0,0.2,0.0,ACB,ACB,0.08301090397467453,0.06933261764179643,0.6298844661650914,0.4408087101835468,0.32525070395653133,0.13653516352957412,0.41560161534409623,0.481438144878204,0.48859106571087285,0.5026458573700145,0.6209434311638977,0.6108433815318999,0.640474388803632,0.6382432669617956,0.2454982300167734,0.59436036319703,0.014214046822742474,0.09090909090909091,0.08791208791208792,0.0,0.6483726866624124,0.7496050552922593,0.5,0.11111111111111105,0.571428571428571,0.0,0.5552407932011332,1.0,0.544776119402985,0.4086021505376343,0.0,1.0,1,1,1,0,0,1
2020-02-04,0.09291244788564629,0.04847702009126319,ACB,0.0,2020,0.38181818181818095,0.10000000000000009,0.0,0.0,0.0009661835748792091,0.0,0.0,0.6140350877192982,0.11111111111111105,0.5357142857142858,1.0,0.0,0.0,1.0,0.75,0.6607142857142847,0.09292035398230114,0.8854625550660788,0.1428571428571428,0.4086021505376343,0.0,0.0,0.0,0.0,1.0,0.1363636363636367,1.0,0.2,0.0,ACB,ACB,0.08151600422089339,0.0707640007156915,0.6298844661650914,0.44549443666677374,0.16287905590637908,0.1158684573849054,0.6510447561319697,0.5877464910014634,0.48429702416117815,0.5000119551387825,0.6209434311638977,0.6108433815318999,0.640474388803632,0.6382432669617956,0.2454982300167734,0.59436036319703,0.015050167224080268,0.09090909090909091,0.09065934065934067,0.25,0.6483726866624124,0.7496050552922593,0.5,0.11111111111111105,0.571428571428571,0.0,0.5552407932011332,1.0,0.544776119402985,0.4086021505376343,0.0,1.0,0,1,1,0,0,1
2020-02-05,0.08933889219773677,0.05989836731255754,ACB,0.0,2020,0.38181818181818095,0.10000000000000009,0.0,0.0,0.0009661835748792091,0.0,0.0,0.6140350877192982,0.11111111111111105,0.5357142857142858,1.0,0.0,0.0,1.0,0.75,0.6607142857142847,0.09292035398230114,0.8854625550660788,0.1428571428571428,0.4086021505376343,0.0,0.0,0.0,0.0,1.0,0.1363636363636367,1.0,0.2,0.0,ACB,ACB,0.07826239887442843,0.07156915369475758,0.6298844661650914,0.32804621725740934,0.12484948710242622,0.1025446557882567,0.46259300933977426,0.5370203841831551,0.47800047746561825,0.4963071733270931,0.06645454011632546,0.08850784634116582,0.640474388803632,0.6382432669617956,0.2454982300167734,0.59436036319703,0.01588628762541806,0.09090909090909091,0.09340659340659342,0.5,0.6483726866624124,0.7496050552922593,0.5,0.11111111111111105,0.571428571428571,0.0,0.5552407932011332,1.0,0.544776119402985,0.4086021505376343,0.0,1.0,1,1,1,0,0,1
