time,Close,quarter,year,ROE (%),ROA (%),P/E,P/B,EPS (VND),BVPS (VND),NIM (%),Non_Interest_Income (%),NPL (%),Provision_Coverage (%),Cost_of_Funds (%),Equity_Ratio (%),Equity_on_Loan (%),CIR (%),Loan_on_Earning_Asset (%),Loan_to_Asset (%),Loan_to_Deposit (%),Deposit_Ratio (%),NPL_to_Asset (%),Credit_Growth (%),Pre_Provision_ROA (%),Post_Tax_ROA (%),equity_on_liability,eps_change,asset_on_equity,liquidity_on_liability,payable_on_equity,cancel_debt,book_value_per_share_change,Ticker,NIM (%)_Diff_QoQ,NPL (%)_Diff_QoQ,CIR (%)_Diff_QoQ,Provision_Coverage (%)_Diff_QoQ,Cost_of_Funds (%)_Diff_QoQ,Equity_Ratio (%)_Diff_QoQ,Loan_to_Deposit (%)_Diff_QoQ,Credit_Growth (%)_Diff_QoQ,Pre_Provision_ROA (%)_Diff_QoQ,Post_Tax_ROA (%)_Diff_QoQ,Non_Interest_Income (%)_Diff_QoQ,Loan_to_Asset (%)_Diff_QoQ,NPL_to_Asset (%)_Diff_QoQ,ROE (%)_Diff_QoQ,ROA (%)_Diff_QoQ,P/E_Diff_QoQ,P/B_Diff_QoQ,BVPS (VND)_Diff_QoQ,Close_Pct_Change_QoQ,Quarterly_Return,Target_Return_t+1Q,Target_Direction_t+1Q
2022-12-31,-0.4599066569566255,4,2022,0.7393119185653515,1.2626598662911905,-1.3247057255053267,-0.4805380779393866,2290,-0.10232569892905206,0.4237242853168863,-0.3941235780314097,1.2453314537095963,0.46857959934899507,-0.7577497329500995,0.8985354575795437,0.236,1.9660503598590728,0.764,-0.07322749303380317,1.0287034207154293,0.528,1.356935178875353,-0.025643817040974633,-0.7826339473404492,-2.059228028627621,0.2,-0.009,6.1,0.287,5.1,0.047,0.011,VPB,-0.730496146506463,1.5005550416471176,1.510277879358014,-1.5313599153095183,0.679966911764337,-0.804748899810857,-0.24012694631839882,-1.278793881906732,-0.3335345753705126,-1.8078185538319922,-0.42302549347072554,0.9530377920786551,1.9177806325674118,-0.9429315809371949,-0.7248565358863486,-0.13706919796193218,-0.0667557337293191,-0.5280081295158405,-0.46389096485624287,-0.00567465321563676,0.176284083703234,1
2023-03-31,0.06483337954955957,1,2023,-0.6553522054159735,-0.5619166944227812,0.5795587549085791,-0.09273541854970611,1517,-0.06062462832106773,0.030754181998808014,0.12386741023844408,1.7837266310652486,-0.8785867487793644,-0.06061997863600925,0.38187756947130613,0.227,0.7259262867171967,0.748,-0.38200342199300286,0.5661292119827429,0.535,1.849716901730086,0.022503757811468073,-3.011954888249599,-1.5286937198264108,0.2,-0.338,6.4,0.3,5.4,0.055,0.015,VPB,-1.0475039081979423,1.0580836832127107,-0.8981781241071245,-1.6897467755776205,1.6423816176461723,-0.8945995051295476,-0.7898014253315998,-0.21273615693429895,-1.5464498381655465,0.38482833269766653,0.36087482855322556,-0.9420517656569984,0.9076519024364839,-3.006474014592657,-3.106528010941491,2.4335054530472253,0.5473970165804166,-0.46926172650064085,0.4066625290395273,0.176284083703234,-0.05714285714285727,0
2023-06-30,-0.13524735379452574,2,2023,-0.8162749889522805,-0.8660127878751097,0.5076997179118282,-0.2866367482445461,1461,0.004546391573822377,-0.597997983310119,1.4188448809130783,2.1067637374786403,-1.359717587396636,0.5203214832923985,-0.19218675064895788,0.22,1.0586425014625769,0.715,-1.0276258189076997,-0.7920674008919565,0.567,1.849716901730086,0.10676201380324339,1.7312811562379524,-0.8172954421156974,0.2,-0.037,6.9,0.333,5.9,0.056,0.023,VPB,-1.9985271932723978,0.6156123247783053,0.39295292929686604,-0.6206354687679395,1.401777941175712,-0.9844501104482358,-1.9807627965268761,-0.13073171655180324,3.084681165233667,0.5356985313120924,0.9488000700711887,-1.7000875887512723,-0.10247682769444187,-0.21462248670585413,-0.46022637199133154,-0.23407201498114535,-0.37383210888418655,-0.3474173350617082,-0.7101326431184921,-0.05714285714285727,0.09319611206403677,1
2023-09-30,0.17242396257420906,3,2023,-1.120240246743082,-1.1701088813274385,1.477796717367969,-0.09273541854970611,1296,0.06866964587554704,-0.8337800453009666,-0.08942299669620177,1.2453314537095963,-1.407830671258363,1.4498278223778513,-0.42181247869706345,0.211,0.9376547870097108,0.727,-0.8311320459336614,-1.0282755074788585,0.587,1.02841403030553,0.7086066994587806,-0.8774986682302004,-0.527913091860492,0.2,-0.113,7.1,0.315,6.1,0.054,0.023,VPB,-0.4134883848149793,-1.8179801466109313,0.02051127927648475,-0.08607981536309842,2.123588970587087,-0.4453464785361066,-0.4887892106338914,1.0446652622639563,-1.7984841784865915,0.18366806787843165,-1.1723419777583257,0.1950019689843951,-1.7860247112459864,-0.5383154174753384,-0.46022637199133243,1.1724688317974499,0.24032064142554838,-0.35285681682237485,0.009140952246727098,0.09319611206403677,-0.07165271966527198,0
2023-12-31,-0.0861709475025801,4,2023,-1.406325195252072,-1.3221569280536027,1.22629008787934,-0.868340737329067,1267,0.8599422218340841,-1.0695621072918136,-0.7445292465668993,0.4915782054116827,0.03556184459345066,1.7983926995348964,1.3003804816637285,0.247,0.5444447150378976,0.744,-0.1293685710263855,-0.6050693165106562,0.581,0.5356323074507968,0.6724960183194484,-0.6403368660058252,-1.2272537716439051,0.2,-0.023,5.8,0.313,4.8,0.048,0.272,VPB,-0.4134883848149771,-1.5967444673937279,-0.20295371073574345,1.7551674352535753,0.920570588234797,2.6095741022992915,0.3880724582681199,-0.40407985116011974,0.09177337392124871,-0.6410890178804306,-0.526777006679778,1.3320557036257887,-1.1126055578253677,-0.49785380112915273,-0.19559620809631587,-0.4765790575291792,-1.2950612343487904,3.422143525080271,-0.7795528409541554,-0.07165271966527198,0.028732394366197234,1
2024-03-31,0.010094310993159156,1,2024,-1.2990433395612007,-1.1701088813274385,0.9029244213939596,-0.868340737329067,1396,0.9387341944401248,-1.0695621072918136,-0.9882897116350655,0.27622013446942145,0.30820265314323786,1.4498278223778513,1.472599777699806,0.245,0.15123464306608264,0.758,0.3197600529142731,-0.6247533253928982,0.593,0.37137173316588545,0.2512047383605725,-0.9012148484526381,-0.3108763291690877,0.2,0.103,5.8,0.299,4.8,0.043,0.021,VPB,0.5375349002594719,-0.49056607130771207,-0.20295371073574484,0.3098873353071543,-0.5230514705879531,0.18360775869470822,-0.20086448353173994,-1.278793881906731,-0.23902169775012042,0.7066847564084421,-0.21552246705262065,0.7635288363050954,-0.43918640440475126,0.39230175848692983,0.33366411969371546,-0.5735818745483932,-0.0667557337293191,-0.27670407217304194,-0.2992757559676546,0.028732394366197234,-0.005476451259583848,0
2024-06-30,-0.008781229888358555,2,2024,-1.2096417931521413,-1.3221569280536027,0.6514177919053307,-0.868340737329067,1460,0.8104876858366755,-0.9909680866281978,0.1543374683719649,0.5992572408828125,-0.5417951617472752,0.28794489852103505,0.6689097295314381,0.221,-1.421605644821176,0.77,0.6846770598660582,-0.17202112110133178,0.581,0.8641534560206185,0.5039795063358985,1.1383766506770079,-0.40733711258748956,0.2,0.046,6.3,0.282,5.3,0.044,-0.034,VPB,0.8545426619509556,0.6156123247783037,-1.1713020007887391,-1.07599769203873,-2.20727720588116,-1.3438525317229861,0.42733492105477877,0.25195567189983986,1.2889364904462162,-0.1381883558323439,0.8335206109500197,0.5740198805315286,0.9076519024364839,0.3518401421407442,-0.19559620809631587,-0.4765790575291792,-0.0667557337293191,-1.3515456680807694,-0.4629426981873235,-0.005476451259583848,0.07764317180616742,1
2024-09-30,0.2573638965410374,3,2024,-1.0129583910522109,-1.018060834601274,0.43584068091507727,-0.6744394076342266,1662,0.9205030731190463,-0.7551860246373507,-0.4245936361649305,0.27622013446942145,-0.12481510161230652,-0.2929965634073727,1.0133483216035966,0.224,-0.12098771445286613,0.773,1.1899467617992991,-0.06375907224900175,0.579,0.6998928817357072,-0.21823411645074678,0.18972944177949694,0.19554278377752207,0.2,0.138,6.0,0.285,5.0,0.042,0.03,VPB,1.488558185333921,-0.711801750524914,1.1874951160070164,0.48807255310876796,-1.004258823528868,0.4531595746507753,-0.030727144789559235,-1.9621642184275232,-0.6958339395820177,0.445176412143437,-0.4691372771191933,0.8898681401541398,-0.43918640440475126,0.5946098402178572,0.5982942835887315,-0.42807764901957257,0.24032064142554904,-0.11460751570517616,-0.06526969002914902,0.07764317180616742,-0.044966785896780714,0
2024-12-31,0.09125913678368411,4,2024,-0.9235568446431515,-0.7139647411489457,-0.426467763045937,-0.868340737329067,1988,1.0533597503324235,-0.9123740659645819,0.47427307877393327,-0.36985407835736156,0.757258102519358,-0.7577497329500995,0.6115032975194117,0.213,-1.1493832873022274,0.777,1.4706521517622109,0.8417053363341311,0.545,-0.12140998968884888,-0.14601275417208223,1.1383766506770079,0.3161187630505238,0.2,0.196,6.3,0.28,5.3,0.042,0.035,VPB,-0.09648062312349334,-1.3755087881765244,-0.7243720207642799,1.0622249215806343,-0.7636551470584115,-0.7148982944921712,1.0293593504501926,-0.1580665300126349,0.5643377620232114,0.042855882504966934,0.6490734763561486,0.38451092475796184,-1.7860247112459864,0.3518401421407442,0.598294283588731,-1.3011030021924943,-0.3738321088841873,0.003973186677356522,-0.651878109455061,-0.044966785896780714,-0.01016586409844844,0
2025-03-31,0.055395609108800724,1,2025,-0.9414371539249633,-0.7139647411489457,-0.534256318541064,-0.868340737329067,2030,1.157507650293068,-0.8337800453009666,-1.2015801185697115,0.1685410989982908,-0.6540590240913052,-0.8739380253357812,0.20965827343522692,0.207,-0.12098771445286613,0.778,1.0215235278215522,-0.19170512998357378,0.589,0.5356323074507968,0.20305716350812947,-0.14229708133463193,-0.08178196855038344,0.2,0.021,6.6,0.27,5.6,0.042,0.027,VPB,0.8545426619509534,1.0580836832127107,0.9640301259947868,-1.768940205711672,-0.041844117647036376,-0.7148982944921712,-1.5488757058736433,0.4706341795864923,-0.9163639873629327,-0.389638686856387,-1.299149382791612,-1.2579000252796166,1.2443614791467956,0.10907044406363064,0.06903395579869977,-0.2825734234907528,-0.0667557337293191,-0.14506861356490933,-0.4853784701668435,-0.01016586409844844,0.0,0
2025-06-30,0.055395609108800724,2,2025,-0.7447537518250329,-0.7139647411489457,-0.7857629480296929,-0.868340737329067,2193,1.1830731307663045,-1.2267501486190453,-0.5464738686990138,-0.5852121492996227,0.11575031769632925,-0.9901263177214621,-0.5940317747331411,0.184,0.3932100719718149,0.773,1.4987226907585018,0.37913112760144263,0.56,-0.2856705639737603,1.1058241919914358,-0.2845941626692586,0.4728675361054269,0.2,0.08,7.3,0.275,6.3,0.034,0.006,VPB,-1.0475039081979445,-1.5967444673937279,0.5419295893050206,0.9236364188460459,-0.04184411764703471,-1.3438525317229861,0.5843847722014055,1.7280355987847476,-0.16026096639979537,0.40494435917958976,0.464626341762278,0.8266984882296176,-1.7860247112459886,0.5946098402178572,0.06903395579869977,-0.4765790575291792,-0.0667557337293191,-0.553029745614907,-0.43674146235270517,0.0,0.6810810810810812,1
2025-09-30,2.433713760179999,3,2025,-0.4229081847524196,-0.40986864769661685,0.2561930884231993,0.10116591114513433,2602,1.3775384248578093,-1.1481561279554295,0.47427307877393327,-1.123607326655275,0.5808434616930251,-0.525373148178736,-0.7662510707692203,0.178,-0.9981486442361447,0.788,1.7794280807214136,1.855431793769594,0.515,-0.778452286828494,2.1048863701796274,0.7589177671180035,1.2807265972345423,0.2,0.187,7.4,0.256,6.4,0.033,0.048,VPB,0.8545426619509556,-1.154273108959321,-1.0223253407805861,0.5474676257093058,1.1611742647052539,-0.35549587321741843,1.7884336309922362,1.9467141064713993,0.6273463471034728,0.6161626372397864,0.7412970436530842,0.38451092475796184,-1.1126055578253689,0.8778411546411559,0.5982942835887319,1.269471648816664,1.4686261420450204,0.32381471420455477,2.8217858543422083,0.6810810810810812,-0.090032154340836,0
2025-12-31,1.9051986154975102,3,2025,-0.4229081847524196,-0.40986864769661685,0.2561930884231993,0.10116591114513433,2602,1.3775384248578093,-1.1481561279554295,0.47427307877393327,-1.123607326655275,0.5808434616930251,-0.525373148178736,-0.7662510707692203,0.178,-0.9981486442361447,0.788,1.7794280807214136,1.855431793769594,0.515,-0.778452286828494,2.1048863701796274,0.7589177671180035,1.2807265972345423,0.2,0.187,7.4,0.256,6.4,0.033,0.048,VPB,0.5375349002594719,-0.04809471287330511,0.11982905261525346,-0.02668474276256051,0.19875955882342197,-0.08594405726135386,-0.17468950834063499,-0.3220754107776248,-0.06574808877940318,-0.05772424990464995,-0.031075332458749976,-0.24718559448726068,-0.10247682769444187,0.14953206040981623,0.06903395579869977,-0.13706919796193218,-0.0667557337293191,-0.685753100575173,-0.8674864095399569,-0.090032154340836,,0
