time,Close,quarter,year,ROE (%),ROA (%),P/E,P/B,EPS (VND),BVPS (VND),NIM (%),Non_Interest_Income (%),NPL (%),Provision_Coverage (%),Cost_of_Funds (%),Equity_Ratio (%),Equity_on_Loan (%),CIR (%),Loan_on_Earning_Asset (%),Loan_to_Asset (%),Loan_to_Deposit (%),Deposit_Ratio (%),NPL_to_Asset (%),Credit_Growth (%),Pre_Provision_ROA (%),Post_Tax_ROA (%),equity_on_liability,eps_change,asset_on_equity,liquidity_on_liability,payable_on_equity,cancel_debt,book_value_per_share_change,Ticker,NIM (%)_Diff_QoQ,NPL (%)_Diff_QoQ,CIR (%)_Diff_QoQ,Provision_Coverage (%)_Diff_QoQ,Cost_of_Funds (%)_Diff_QoQ,Equity_Ratio (%)_Diff_QoQ,Loan_to_Deposit (%)_Diff_QoQ,Credit_Growth (%)_Diff_QoQ,Pre_Provision_ROA (%)_Diff_QoQ,Post_Tax_ROA (%)_Diff_QoQ,Non_Interest_Income (%)_Diff_QoQ,Loan_to_Asset (%)_Diff_QoQ,NPL_to_Asset (%)_Diff_QoQ,ROE (%)_Diff_QoQ,ROA (%)_Diff_QoQ,P/E_Diff_QoQ,P/B_Diff_QoQ,BVPS (VND)_Diff_QoQ,Close_Pct_Change_QoQ,Quarterly_Return,Target_Return_t+1Q,Target_Direction_t+1Q
2020-06-30,-1.6982243031060156,2,2020,-1.0756931787614612,-1.6886515161491673,-0.9652283538288476,-1.4262302904259232,995,-1.4313134206942233,-0.23458913842287488,1.1591964819218403,-0.17976645531359503,-0.3864170274841618,0.6927587472088231,0.57863756235784,0.175,1.128538674166203,0.661,-0.9866972253636113,-0.7140368614800853,0.651,-0.5233544193516791,-2.6329598092093676,-0.7769028233894357,-0.49643654040205853,0.1,0.045,9.2,0.376,8.2,0.018,0.041,MBB,-0.6240418761707198,-0.5042177044045412,1.114909244475681,0.6519955260190805,-0.5471831949346565,0.23710452593435713,-0.4695223869281561,0.027553041200149092,-0.9705250766098681,1.1091351090829227,0.6781638014548949,0.35269873779842253,-0.7439629471679856,0.494695494645508,-0.05391638660171924,0.38789821118457635,0.2613541867446587,-1.1935021711834184,0.6909424663181368,0.2258883248730965,0.18840579710144922,1
2020-09-30,-1.519351399558087,3,2020,-1.4276984669334014,-1.2923353439917098,-0.5063084129903259,-0.801405591763138,1018,-1.3438702363165183,0.13751777079961452,-0.007928840505620687,0.04993512647599698,-0.4190634196959598,0.515720400699901,1.4658818246398693,0.18,2.3953098366513297,0.675,-0.6965746037013005,-0.9835092959857884,0.676,-0.20658727079671657,-2.246829677784402,-2.3443383442628503,-0.5715552274365805,0.1,0.023,8.9,0.362,7.9,0.017,0.054,MBB,0.8867963503478646,0.20580314465491453,1.2070670616291066,-0.03502455305061152,-0.22448541330652583,0.7648533094656684,-0.5606533143488109,0.2728639886595416,-1.416966611850406,-0.11164561329052529,-0.9688054306498497,0.2943385149972447,0.303658345782851,-0.6344186496217207,0.566122059318052,0.4610265624734716,0.6620972730864677,-0.8204693879360105,0.48986192192986555,0.18840579710144922,0.3397212543554007,1
2020-12-31,-1.1360523205268112,4,2020,-1.829990224844192,-2.084967688306625,0.5836264465011636,-0.17658089310035274,1025,-1.2782161732919464,-0.4206425930341196,0.2838524901012444,-0.8688712006823719,-0.18276572368675442,-0.19243298533578604,-1.1958509622062152,0.168,2.3456325361617165,0.645,-1.5347066218368648,-1.5673662374148118,0.673,-0.8401215679066419,-1.056261772557424,-2.595128027602597,-2.430742731540997,0.1,0.007,9.9,0.387,8.9,0.018,0.038,MBB,-1.0017514328003658,-0.9775649371108449,-0.014024015653782168,0.43107142216137534,-1.1925787581909157,-2.0498068693679894,-1.0390906833072486,1.294992936407011,-0.2450575818439916,-1.4446820342730258,0.32293514354994984,-1.7482692830439774,-0.7439629471679853,-0.7212735837961256,-1.2939932784412618,1.2654384266513228,0.6620972730864677,-1.174850532021048,1.3016159931694302,0.3397212543554007,0.223667100130039,1
2021-03-31,-0.7979628764581987,1,2021,-0.6231149511118219,-0.4997029996767965,0.5836264465011636,0.4482438055624325,1254,-1.1492016389641848,0.13751777079961452,2.1804311390458686,-0.40946803710318747,-0.2869232607434436,-0.3694713318447081,-0.30860669992418915,0.166,-0.4859735917462137,0.685,-0.5353953694444612,-1.1332162040445124,0.694,-0.5233544193516791,0.7939451071872033,0.5083943037267659,0.16085197115000863,0.1,0.223,9.5,0.344,8.5,0.015,0.072,MBB,1.2645059069775109,0.4424767610080667,-2.5944428959496983,-0.15895758692200712,-0.22448541330652583,0.764853309465666,0.5101350828438831,2.133138673559935,2.740520185077114,1.8808930370201606,1.74384977516973,1.5782634166231557,0.3036583457828513,2.0580843097847543,2.426237397077364,-0.12400024783769242,0.6620972730864677,-0.1443474683000839,0.6790263788209494,0.223667100130039,0.5398512221041445,1
2021-06-30,0.20058036532584267,2,2021,-0.6734014208506708,-0.4997029996767965,2.7061311728793265,2.635130250882182,1295,-1.0703594235416638,0.6956781346333474,0.57563382070811,-1.5579759460511484,1.4091345441647358,-0.5465096783536302,0.13501543121682544,0.169,0.5324110682908486,0.68,-0.567631216295829,-1.49251278338545,0.706,-1.4736558650165676,0.1503948881455941,-0.4947644296322207,-1.5856575024026258,0.1,0.033,9.4,0.353,8.4,0.018,0.041,MBB,1.2645059069775082,-1.2142385534639966,0.9766725187455425,2.960921830970949,-0.22448541330652583,0.41302078711146084,-0.6973497054797931,-1.035461064457218,-0.9147198847048007,-1.360490260316237,-1.3563276029097897,-0.289263713014533,-1.0931700448182644,-0.11328904457530758,-0.05391638660171924,2.581748749851441,2.6658127047955156,-0.9603566816537885,2.3752427002178482,0.5398512221041445,-0.1325051759834368,0
2021-09-30,-0.17682180479725956,3,2021,-0.5728284813729732,-0.1033868275193391,1.501466328178207,1.3854808535566105,1378,-0.9668610971142819,0.881731589244592,0.32032515642710263,-1.3282743642615562,1.3516147102677576,-0.7235480248625522,-0.08679563435368186,0.175,0.5820883687804614,0.651,-1.4379990812827612,-1.2829231121032363,0.665,-1.1568887164616048,-0.0909364439950097,-0.526113140049689,-0.590334899195211,0.1,0.064,9.4,0.385,8.4,0.018,0.052,MBB,0.5090867937182185,0.20580314465491453,0.0781338014996435,-0.07813169526675032,-0.22448541330652583,-0.11472799641985036,0.1683941050164276,-0.5243965905834843,-0.04973941017625561,0.6881762392989752,-0.16146757177497523,-1.8066295058451554,0.3036583457828513,0.14727575794790013,0.566122059318052,-1.6596956249044983,-1.7423612449643897,-0.559346439662825,-1.231712288891903,-0.1325051759834368,0.03739061256961018,1
2021-12-31,-0.08443689856920873,4,2021,0.38261444366515285,-0.1033868275193391,1.0425463873396859,1.3854808535566105,1576,-0.8372731648561749,0.13751777079961452,1.0497784829442656,-1.3282743642615562,1.8988304273417078,-1.254663064389318,-0.7522288310652038,0.172,0.4330564673116243,0.643,-1.6636500092423363,-1.7769559086970255,0.68,-1.4736558650165676,-0.6218653747043376,-0.4634157192147524,-0.45887719688479756,0.1,0.144,9.7,0.394,8.7,0.011,0.062,MBB,-1.3794609894300094,-0.0308704716982372,-0.10618183280720654,0.9699106998630959,-0.8698809765627861,-0.4665605187740579,-0.9023942921762665,-0.8923630117725728,0.03396837768134552,0.042705972296922336,0.7104573158098898,-0.6394250498215996,-0.3947558495177066,1.6238096389127414,-0.05391638660171924,-0.7090270581488558,-0.13938889959715112,-0.1350216487188987,-0.32028129203787475,0.03739061256961018,0.14033742331288335,1
2022-03-31,0.27527454482937314,1,2022,0.43290091340400166,0.29292934463811826,1.3293713503637619,1.6978932028880036,1699,-0.6744281526380226,0.5096246800221026,0.8309424849891174,-1.098572782471964,1.6205587984887613,-1.43170141089824,-0.7522288310652038,0.161,-0.38661899076698797,0.678,-0.34198028833625405,0.019526988007660513,0.637,-1.1568887164616048,0.40781497576223724,0.3829994620568925,0.292309673460422,0.1,0.078,9.7,0.363,8.7,0.009,0.073,MBB,0.8867963503478621,0.20580314465491495,-0.728247098592831,-0.4607075824349708,-0.22448541330652583,0.06118826475725337,2.5833636816637777,1.0905671468575164,0.7315332764946884,0.5057607290592652,-0.12917405741997928,2.1618656446349336,0.3036583457828513,0.06042082377349755,0.566122059318052,0.24164150860678518,0.2613541867446587,0.4058758869898426,0.23199204644684013,0.14033742331288335,-0.26563550773369193,0
2022-06-30,-0.5011517947468006,2,2022,1.5894897173975242,1.481877861110489,-0.5063084129903259,-0.17658089310035274,1951,-0.5376727462505955,1.0677850438558367,-0.5914915017193514,-0.6391696188927795,1.1743914382608536,-1.43170141089824,0.35682649678733275,0.171,0.4827337678012358,0.674,-0.6321029099985648,-0.24994544649804262,0.644,-0.5233544193516791,-0.04267017756688894,-0.4634157192147524,0.6866827803916613,0.1,0.148,9.3,0.366,8.3,0.006,0.057,MBB,1.2645059069775109,0.4424767610080667,0.8384357930154039,-0.7516807923938984,0.0982123683216049,0.9407695706427721,-0.5606533143488109,-0.7901501169978253,-0.7752069049421321,0.23915344486276396,-1.1948600311348154,-0.7561454954239553,0.6528654434331302,1.971229375610354,1.8061989511575924,-2.46410748908235,-2.543847417648008,-0.018448903954083766,-1.9459095742516666,-0.26563550773369193,-0.008241758241758212,0
2022-09-30,-0.518842521471321,3,2022,2.243213824002559,2.2745102054254036,-0.8504983686192171,-0.488993242431745,2181,-0.35963268887828465,1.625945407689571,-1.0291634976296498,-1.098572782471964,0.9614125938315039,-1.0776247178803957,2.131315021351391,0.178,0.358540516577205,0.692,-0.051857666673943335,0.9926218903893647,0.612,-0.8401215679066419,0.1503948881455941,-0.3693695879623474,1.2688526049092064,0.1,0.118,8.7,0.349,7.7,0.012,0.071,MBB,1.2645059069775109,-0.5042177044045412,-0.08314237851885013,-0.347551334117609,0.7436079315778664,1.4685183541740832,1.7404026030227207,0.027553041200149377,0.06187097363387924,0.37947306812408077,-0.3229351435499504,0.8195805202078448,-0.3947558495177066,1.1026800338663283,1.1861605052378235,-0.5627703555710653,-0.5401319859389601,0.6530101058912503,-0.5650828705327541,-0.008241758241758212,-0.1449676823638043,0
2022-12-31,-0.8274474209990662,4,2022,1.4889167779198267,1.0855616889530317,-1.2520533168529238,-1.1138179410945306,2170,-0.22775116489879513,1.439891953078326,-0.9562181649779334,-0.8688712006823719,1.432453395744591,-0.9005863713714737,0.57863756235784,0.173,-0.38661899076698797,0.672,-0.599867063147197,-0.3846816637508925,0.647,-0.8401215679066419,0.1503948881455941,0.2576046203870192,-1.5856575024026258,0.1,-0.005,9.2,0.371,8.2,0.012,0.049,MBB,-0.24633231954107368,0.20580314465491453,-0.6591287357277619,0.8378950768261736,0.4209101499497357,-1.1702255634824728,-2.24657547163092,-0.21775790625924338,0.5362151048269523,-2.188376037558001,0.1291740574199801,-1.2230272778333775,-0.04554875186742766,-1.3292581230169436,-1.9140317243610332,-0.6358987068599612,-0.9408750722807703,-0.09771837039415793,-1.2985692410876986,-0.1449676823638043,0.06803455723542129,1
